method,baseline_method,condition,metric,n_baseline,n_recovery,baseline_mean,recovery_mean,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh
sac_her_recovery_v4_hx6,sac_her,action_delay,completion_time_overhead,416,422,14.742788461538462,14.736966824644549,-0.005821636893912796,-0.9492737194677356,0.9591599639992702,0.8859718673768398,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4_hx6,sac_her,action_reversal,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v4_hx6,sac_her,goal_spoof_immediate,completion_time_overhead,38,43,14.0,11.930232558139535,-2.0697674418604652,-9.224831701346389,3.1271419828641296,0.6903718551491427,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4_hx6,sac_her,goal_spoof_midep,completion_time_overhead,47,54,8.72340425531915,8.574074074074074,-0.1493301812450749,-1.5930260047281328,1.3278270291568166,0.47861523544808515,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4_hx6,sac_her,object_pose_spoof,completion_time_overhead,119,109,10.571428571428571,11.844036697247706,1.2726081258191346,-0.7384492329041712,3.4208175930922824,0.30791196475218574,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v4_hx6,sac_her,grip_state_falsification,completion_time_overhead,89,82,34.86516853932584,33.890243902439025,-0.9749246368868185,-12.659971910112358,10.58379693066592,0.6678200937529977,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4_hx6,sac_her,contact_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v2,sac_her,sensor_dropout,recovery_time,450,450,0.0,23.74,23.74,18.886555555555557,28.9245,4.754721559150118e-87,paired_wilcoxon,1.5215108989280376e-86,True
sac_her_recovery_v2,sac_her,sensor_dropout,num_interventions,450,450,0.0,1.028888888888889,1.028888888888889,1.0155555555555555,1.0444444444444445,3.3047192945917125e-97,paired_wilcoxon,2.0336734120564385e-96,True
sac_her_recovery_v2,sac_her,sensor_bias,recovery_time,450,450,0.0,6.12,6.12,4.58,7.928944444444444,1.0164607309507094e-83,paired_wilcoxon,2.7105619492018917e-83,True
sac_her_recovery_v2,sac_her,sensor_bias,num_interventions,450,450,0.0,1.6355555555555557,1.6355555555555557,1.451111111111111,1.8422222222222222,4.3194263246014327e-85,paired_wilcoxon,1.2798300221041282e-84,True
sac_her_recovery_v2,sac_her,action_clipping,recovery_time,450,450,0.0,1.22,1.22,1.1022222222222222,1.38,6.096336639808319e-91,paired_wilcoxon,2.216849687203025e-90,True
sac_her_recovery_v2,sac_her,action_clipping,num_interventions,450,450,0.0,1.12,1.12,1.0733333333333333,1.1755555555555555,5.971216704106619e-91,paired_wilcoxon,2.216849687203025e-90,True
sac_her_recovery_v2,sac_her,action_delay,recovery_time,450,450,0.0,3.908888888888889,3.908888888888889,3.0466111111111114,4.915555555555556,1.8352621790150996e-59,paired_wilcoxon,2.4884910901899656e-59,True
sac_her_recovery_v2,sac_her,action_delay,num_interventions,450,450,0.0,1.3844444444444444,1.3844444444444444,1.26,1.52,1.1774296093376335e-60,paired_wilcoxon,1.6240408404657014e-60,True
sac_her_recovery_v2,sac_her,action_reversal,recovery_time,450,450,0.0,8.646666666666667,8.646666666666667,7.064444444444445,10.406888888888885,2.80152682226448e-77,paired_wilcoxon,5.0936851313899635e-77,True
sac_her_recovery_v2,sac_her,action_reversal,num_interventions,450,450,0.0,1.9933333333333334,1.9933333333333334,1.7777777777777777,2.2288888888888887,1.4032899792803334e-79,paired_wilcoxon,2.9542946932217544e-79,True
sac_her_recovery_v2,sac_her,goal_spoof_immediate,recovery_time,450,450,0.0,2.6466666666666665,2.6466666666666665,1.6799444444444445,3.8222222222222224,2.8820642869324528e-27,paired_wilcoxon,3.390663866979356e-27,True
sac_her_recovery_v2,sac_her,goal_spoof_immediate,num_interventions,450,450,0.0,0.9266666666666666,0.9266666666666666,0.6333333333333333,1.2756111111111104,1.4482651238017514e-28,paired_wilcoxon,1.755472877335456e-28,True
sac_her_recovery_v2,sac_her,goal_spoof_midep,recovery_time,450,450,0.0,2.031111111111111,2.031111111111111,1.0377777777777777,3.22,7.789688930298363e-06,paired_wilcoxon,8.093183304206092e-06,True
sac_her_recovery_v2,sac_her,goal_spoof_midep,num_interventions,450,450,0.0,0.32,0.32,0.15333333333333332,0.5289444444444436,5.032045991325624e-06,paired_wilcoxon,5.296890517184868e-06,True
sac_her_recovery_v2,sac_her,object_pose_spoof,recovery_time,450,450,0.0,1.3311111111111111,1.3311111111111111,0.8044444444444444,2.0911666666666657,1.6169961392530793e-30,paired_wilcoxon,2.021245174066349e-30,True
sac_her_recovery_v2,sac_her,object_pose_spoof,num_interventions,450,450,0.0,0.4711111111111111,0.4711111111111111,0.3977777777777778,0.5511111111111111,1.3911763555750062e-32,paired_wilcoxon,1.7950662652580726e-32,True
sac_her_recovery_v2,sac_her,grip_state_falsification,recovery_time,450,450,0.0,3.517777777777778,3.517777777777778,2.6666666666666665,4.580055555555555,1.8503658122167235e-77,paired_wilcoxon,3.4425410459846016e-77,True
sac_her_recovery_v2,sac_her,grip_state_falsification,num_interventions,450,450,0.0,1.7222222222222223,1.7222222222222223,1.5266666666666666,1.9378333333333326,5.980015831975625e-78,paired_wilcoxon,1.1390506346620239e-77,True
sac_her_recovery_v2,sac_her,contact_dropout,recovery_time,450,450,0.0,1.0733333333333333,1.0733333333333333,1.0177777777777777,1.1733333333333333,5.14858448801603e-97,paired_wilcoxon,2.7459117269418827e-96,True
sac_her_recovery_v2,sac_her,contact_dropout,num_interventions,450,450,0.0,1.031111111111111,1.031111111111111,1.0155555555555555,1.048888888888889,5.146408836380651e-97,paired_wilcoxon,2.7459117269418827e-96,True
sac_her_recovery_v3,sac_her,sensor_dropout,recovery_time,450,450,0.0,28.915555555555557,28.915555555555557,24.372944444444446,33.81794444444444,1.0066817444262147e-78,paired_wilcoxon,2.0133634888524295e-78,True
sac_her_recovery_v3,sac_her,sensor_dropout,num_interventions,450,450,0.0,1.0,1.0,1.0,1.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
sac_her_recovery_v3,sac_her,sensor_bias,recovery_time,450,450,0.0,17.32,17.32,14.999888888888888,19.831166666666665,1.1516037705367896e-76,paired_wilcoxon,2.0472955920654037e-76,True
sac_her_recovery_v3,sac_her,sensor_bias,num_interventions,450,450,0.0,1.6822222222222223,1.6822222222222223,1.5155555555555555,1.8644444444444443,6.512144578112329e-85,paired_wilcoxon,1.8606127366035223e-84,True
sac_her_recovery_v3,sac_her,action_clipping,recovery_time,450,450,0.0,6.413333333333333,6.413333333333333,5.911111111111111,6.957777777777777,1.5211523589178133e-76,paired_wilcoxon,2.5891955045409588e-76,True
sac_her_recovery_v3,sac_her,action_clipping,num_interventions,450,450,0.0,1.2,1.2,1.1533333333333333,1.2533333333333334,7.270851908433876e-87,paired_wilcoxon,2.237185202595039e-86,True
sac_her_recovery_v3,sac_her,action_delay,recovery_time,450,450,0.0,10.948888888888888,10.948888888888888,9.317777777777778,12.70888888888889,1.8238765614458648e-58,paired_wilcoxon,2.4318354152611532e-58,True
sac_her_recovery_v3,sac_her,action_delay,num_interventions,450,450,0.0,1.3888888888888888,1.3888888888888888,1.2622222222222221,1.5222222222222221,6.185963012615685e-61,paired_wilcoxon,8.682053351039557e-61,True
sac_her_recovery_v3,sac_her,action_reversal,recovery_time,450,450,0.0,17.102222222222224,17.102222222222224,15.09538888888889,19.255555555555556,1.713119000191546e-76,paired_wilcoxon,2.8551983336525764e-76,True
sac_her_recovery_v3,sac_her,action_reversal,num_interventions,450,450,0.0,1.5888888888888888,1.5888888888888888,1.468888888888889,1.72,3.432996512499314e-82,paired_wilcoxon,8.322415787877125e-82,True
sac_her_recovery_v3,sac_her,goal_spoof_immediate,recovery_time,450,450,0.0,4.153333333333333,4.153333333333333,2.9287222222222224,5.635555555555555,1.2140033455942036e-26,paired_wilcoxon,1.4075401108338592e-26,True
sac_her_recovery_v3,sac_her,goal_spoof_immediate,num_interventions,450,450,0.0,0.5511111111111111,0.5511111111111111,0.43777777777777777,0.6822222222222222,2.2800275865817486e-29,paired_wilcoxon,2.8061877988698444e-29,True
sac_her_recovery_v3,sac_her,goal_spoof_midep,recovery_time,450,450,0.0,1.4111111111111112,1.4111111111111112,0.7577777777777778,2.197833333333332,2.6842758358353167e-05,paired_wilcoxon,2.7182540109724725e-05,True
sac_her_recovery_v3,sac_her,goal_spoof_midep,num_interventions,450,450,0.0,0.15333333333333332,0.15333333333333332,0.08888888888888889,0.22666666666666666,2.437511865362775e-05,paired_wilcoxon,2.500012169602846e-05,True
sac_her_recovery_v3,sac_her,object_pose_spoof,recovery_time,450,450,0.0,4.56,4.56,3.2710000000000004,6.0645,7.245459570366301e-31,paired_wilcoxon,9.200583581417525e-31,True
sac_her_recovery_v3,sac_her,object_pose_spoof,num_interventions,450,450,0.0,0.5955555555555555,0.5955555555555555,0.49777777777777776,0.7044444444444444,2.155348616925511e-33,paired_wilcoxon,2.826686710721982e-33,True
sac_her_recovery_v3,sac_her,grip_state_falsification,recovery_time,450,450,0.0,14.026666666666667,14.026666666666667,11.793277777777778,16.40461111111111,8.495743882974402e-73,paired_wilcoxon,1.2586287234036153e-72,True
sac_her_recovery_v3,sac_her,grip_state_falsification,num_interventions,450,450,0.0,1.5666666666666667,1.5666666666666667,1.4222222222222223,1.7177777777777778,1.561828195513562e-78,paired_wilcoxon,3.04746964978256e-78,True
sac_her_recovery_v3,sac_her,contact_dropout,recovery_time,450,450,0.0,6.564444444444445,6.564444444444445,6.246666666666667,6.8822777777777775,2.7815516451536156e-80,paired_wilcoxon,6.181225878119146e-80,True
sac_her_recovery_v3,sac_her,contact_dropout,num_interventions,450,450,0.0,1.0022222222222221,1.0022222222222221,1.0,1.0066666666666666,1.1852831656576393e-99,paired_wilcoxon,1.1852831656576392e-98,True
sac_her_recovery_v4,sac_her,sensor_dropout,recovery_time,450,450,0.0,136.0,136.0,136.0,136.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
sac_her_recovery_v4,sac_her,sensor_dropout,num_interventions,450,450,0.0,1.0,1.0,1.0,1.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
sac_her_recovery_v4,sac_her,sensor_bias,recovery_time,450,450,0.0,134.26666666666668,134.26666666666668,132.9843888888889,135.25555555555556,4.62467937796973e-84,paired_wilcoxon,1.2757736215088911e-83,True
sac_her_recovery_v4,sac_her,sensor_bias,num_interventions,450,450,0.0,0.9977777777777778,0.9977777777777778,0.9888888888888889,1.0044444444444445,3.229038224023991e-99,paired_wilcoxon,2.3483914356538118e-98,True
sac_her_recovery_v4,sac_her,action_clipping,recovery_time,450,450,0.0,8.206666666666667,8.206666666666667,5.604333333333334,11.020055555555555,7.437371591594485e-13,paired_wilcoxon,8.263746212882761e-13,True
sac_her_recovery_v4,sac_her,action_clipping,num_interventions,450,450,0.0,0.15777777777777777,0.15777777777777777,0.12444444444444444,0.19333333333333333,6.352808265418835e-16,paired_wilcoxon,7.158093820190235e-16,True
sac_her_recovery_v4,sac_her,action_delay,recovery_time,450,450,0.0,20.315555555555555,20.315555555555555,16.484166666666667,24.360666666666656,6.357821040170362e-23,paired_wilcoxon,7.266081188766127e-23,True
sac_her_recovery_v4,sac_her,action_delay,num_interventions,450,450,0.0,0.3111111111111111,0.3111111111111111,0.26222222222222225,0.36,2.302493039359085e-28,paired_wilcoxon,2.749245420130251e-28,True
