method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,harm_flag
sac_her_recovery_v3,sac_her,sensor_bias,450,150,0.03111111111111111,0.04,0.00888888888888889,-0.024444444444444446,0.04666666666666667,0.5994262792958636,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v4,sac_her,action_delay,450,450,0.9244444444444444,0.9377777777777778,0.01333333333333342,0.0022222222222222365,0.026666666666666616,0.0703125,paired_mcnemar,0.546875,False,False
sac_her_recovery_v4_hx,sac_her,action_delay,450,450,0.9244444444444444,0.9377777777777778,0.01333333333333342,0.0,0.026666666666666727,0.109375,paired_mcnemar,0.546875,False,False
sac_her_recovery_v4_hx2,sac_her,action_delay,450,450,0.9244444444444444,0.9377777777777778,0.01333333333333342,0.0,0.026666666666666727,0.109375,paired_mcnemar,0.546875,False,False
sac_her_recovery_v2,sac_her,goal_spoof_midep,450,150,0.10444444444444445,0.12,0.015555555555555545,-0.042222222222222223,0.07555555555555556,0.5955162507928773,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v4,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.10222222222222223,0.01777777777777778,-0.01999999999999999,0.053333333333333344,0.40957939592707177,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.2822222222222222,0.01777777777777778,-0.040000000000000036,0.07555555555555554,0.6019687530156481,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.12444444444444444,0.01999999999999999,-0.022222222222222213,0.06222222222222221,0.39657015814551605,paired_mcnemar,1.0,False,False
sac_her_recovery_v2,sac_her,goal_spoof_immediate,450,150,0.08444444444444445,0.11333333333333333,0.02888888888888888,-0.026666666666666665,0.08888888888888889,0.28828648764213827,unpaired_bootstrap,0.9909848012698503,False,False
sac_her_recovery_v3,sac_her,goal_spoof_immediate,450,150,0.08444444444444445,0.11333333333333333,0.02888888888888888,-0.02888888888888888,0.08666666666666666,0.28828648764213827,unpaired_bootstrap,0.9909848012698503,False,False
sac_her_recovery_v3,sac_her,goal_spoof_midep,450,150,0.10444444444444445,0.15333333333333332,0.04888888888888887,-0.015555555555555545,0.11555555555555556,0.10624773155280542,unpaired_bootstrap,0.546875,False,False
sac_her_recovery_v2,sac_her,grip_state_falsification,450,150,0.19777777777777777,0.26,0.062222222222222234,-0.015555555555555572,0.14444444444444446,0.10717850595609058,unpaired_bootstrap,0.546875,False,False
sac_her_recovery_v3,sac_her,grip_state_falsification,450,150,0.19777777777777777,0.26,0.062222222222222234,-0.013333333333333336,0.14222222222222222,0.10717850595609058,unpaired_bootstrap,0.546875,False,False
